wals code,name,value,description,latitude,longitude,genus,family,area
dni,Dani (Lower Grand Valley),2,Moderately complex,-4.333333333,138.8333333,Dani,Trans-New Guinea,Phonology
dar,Darai,2,Moderately complex,24,84,Indic,Indo-European,Phonology
det,Deti,2,Moderately complex,-20.5,24.5,Khoe-Kwadi,Khoe-Kwadi,Phonology
din,Dinka,2,Moderately complex,8.5,28,Western Nilotic,Eastern Sudanic,Phonology
dio,Diola-Fogny,3,Complex,13,-16.25,Jola,Niger-Congo,Phonology
diy,Diyari,2,Moderately complex,-28,139,Central Pama-Nyungan,Pama-Nyungan,Phonology
diz,Dizi,3,Complex,6.166666667,36.5,Dizoid,Afro-Asiatic,Phonology
djp,Djapu,3,Complex,-12.66666667,136,Western Pama-Nyungan,Pama-Nyungan,Phonology
der,Dla (Proper),2,Moderately complex,-3.583333333,141,Senagi,Senagi,Phonology
don,Dong (Southern),2,Moderately complex,27,109,Kam-Tai,Tai-Kadai,Phonology
doy,Doyayo,3,Complex,8.666666667,13.08333333,Samba-Duru,Niger-Congo,Phonology
dre,Drehu,2,Moderately complex,-21,167.25,Oceanic,Austronesian,Phonology
dyi,Dyirbal,2,Moderately complex,-17.83333333,145.5833333,Northern Pama-Nyungan,Pama-Nyungan,Phonology
efi,Efik,2,Moderately complex,4.916666667,8.5,Lower Cross,Niger-Congo,Phonology
eja,Ejagham,2,Moderately complex,5.416666667,8.666666667,Ekoid-Mbe,Niger-Congo,Phonology
eka,Ekari,1,Simple,-3.833333333,135.5,Paniai Lakes,Trans-New Guinea,Phonology
eng,English,3,Complex,52,0,Germanic,Indo-European,Phonology
epe,Epena Pedee,2,Moderately complex,3,-77,Choco,Choco,Phonology
eve,Evenki,2,Moderately complex,56,125,Tungusic,Altaic,Phonology
ewe,Ewe,2,Moderately complex,6.333333333,0.4166666667,Gbe,Niger-Congo,Phonology
ewo,Ewondo,2,Moderately complex,4,12,Bantu,Niger-Congo,Phonology
eya,Eyak,3,Complex,60.5,-145,Eyak,Na-Dene,Phonology
fas,Fasu,1,Simple,-6.583333333,143.3333333,Fasu,Trans-New Guinea,Phonology
fef,Fe'fe',2,Moderately complex,5.25,10.16666667,Wide Grassfields,Niger-Congo,Phonology
fij,Fijian,1,Simple,-17.83333333,178,Oceanic,Austronesian,Phonology
fin,Finnish,2,Moderately complex,62,25,Finnic,Uralic,Phonology
fre,French,3,Complex,48,2,Romance,Indo-European,Phonology
ful,Fulniô,3,Complex,-8,-37.5,Fulniô,Fulniô,Phonology
fur,Fur,2,Moderately complex,13.5,25,Fur,Fur,Phonology
fuz,Fuzhou,2,Moderately complex,26,119.5,Chinese,Sino-Tibetan,Phonology
fye,Fyem,2,Moderately complex,9.583333333,9.333333333,Benue-Congo Plateau,Niger-Congo,Phonology
gds,Gadsup,2,Moderately complex,-6.25,146,Gauwa,Trans-New Guinea,Phonology
gar,Garo,2,Moderately complex,25.66666667,90.5,Brahmaputran,Sino-Tibetan,Phonology
grr,Garrwa,2,Moderately complex,-17.08333333,137.1666667,Garrwan,Garrwan,Phonology
gbb,Gbeya Bossangoa,2,Moderately complex,6.666666667,17.5,Gbaya-Manza-Ngbaka,Niger-Congo,Phonology
gla,Gelao,2,Moderately complex,22.91666667,105.5,Kadai,Tai-Kadai,Phonology
geo,Georgian,3,Complex,42,44,Kartvelian,Kartvelian,Phonology
ger,German,3,Complex,52,10,Germanic,Indo-European,Phonology
goo,Gooniyandi,2,Moderately complex,-18.33333333,126.3333333,Bunuban,Bunuban,Phonology
gan,Great Andamanese,2,Moderately complex,12,92.66666667,Great Andamanese,Great Andamanese,Phonology
grb,Grebo,1,Simple,5,-8,Kru,Niger-Congo,Phonology
grk,Greek (Modern),3,Complex,39,22,Greek,Indo-European,Phonology
grw,Greenlandic (West),2,Moderately complex,64,-51,Eskimo,Eskimo-Aleut,Phonology
gmb,Guambiano,2,Moderately complex,2.5,-76.66666667,Barbacoan,Barbacoan,Phonology
gua,Guaraní,1,Simple,-26,-56,Maweti-Guarani,Tupian,Phonology
gwa,Gwari,3,Complex,9.5,7,Nupoid,Niger-Congo,Phonology
ga,Gã,2,Moderately complex,5.666666667,-0.1666666667,Ga-Dangme,Niger-Congo,Phonology
had,Hadza,1,Simple,-3.75,35.16666667,Hadza,Hadza,Phonology
hai,Haida,3,Complex,53,-132,Haida,Haida,Phonology
hak,Hakka,2,Moderately complex,25,116,Chinese,Sino-Tibetan,Phonology
hmr,Hamer,2,Moderately complex,5,36.5,South Omotic,Afro-Asiatic,Phonology
ham,Hamtai,3,Complex,-7.5,146.25,Nuclear Angan,Trans-New Guinea,Phonology
hau,Hausa,2,Moderately complex,12,7,West Chadic,Afro-Asiatic,Phonology
haw,Hawaiian,1,Simple,19.58333333,-155.5,Oceanic,Austronesian,Phonology
hba,Hebrew (Modern Ashkenazic),3,Complex,31.75,35.16666667,Semitic,Afro-Asiatic,Phonology
hin,Hindi,3,Complex,25,77,Indic,Indo-European,Phonology
hix,Hixkaryana,2,Moderately complex,-1,-59,Cariban,Cariban,Phonology
hmo,Hmong Njua,2,Moderately complex,28,105,Hmongic,Hmong-Mien,Phonology
hop,Hopi,3,Complex,36,-110,Northern Uto-Aztecan,Uto-Aztecan,Phonology
htc,Huastec,2,Moderately complex,22.08333333,-99.33333333,Mayan,Mayan,Phonology
