wals code,name,value,description,latitude,longitude,genus,family,area
iri,Irish,2,2 cases,53,-8,Celtic,Indo-European,Nominal Categories
ita,Italian,1,No morphological case-marking,43,12,Romance,Indo-European,Nominal Categories
jak,Jakaltek,1,No morphological case-marking,15.66666667,-91.66666667,Mayan,Mayan,Nominal Categories
jpn,Japanese,7,8-9 cases,37,140,Japanese,Japanese,Nominal Categories
juh,Ju|'hoan,1,No morphological case-marking,-19,21,Ju-Kung,Kxa,Nominal Categories
kly,Kala Lagaw Ya,7,8-9 cases,-10.11666667,142.1166667,Northern Pama-Nyungan,Pama-Nyungan,Nominal Categories
kls,Kalispel,6,6-7 cases,48,-117,Interior Salish,Salishan,Nominal Categories
knd,Kannada,6,6-7 cases,14,76,Dravidian,Dravidian,Nominal Categories
knr,Kanuri,6,6-7 cases,12,13,Western Saharan,Saharan,Nominal Categories
krk,Karok,3,3 cases,41.66666667,-123,Karok,Hokan,Nominal Categories
kas,Kashmiri,4,4 cases,34,76,Indic,Indo-European,Nominal Categories
kyl,Kayah Li (Eastern),1,No morphological case-marking,19,97.5,Karen,Sino-Tibetan,Nominal Categories
kay,Kayardild,8,10 or more cases,-17.05,139.5,Tangkic,Tangkic,Nominal Categories
ker,Kera,9,Exclusively borderline case-marking,9.833333333,15.08333333,East Chadic,Afro-Asiatic,Nominal Categories
ket,Ket,8,10 or more cases,64,87,Yeniseian,Yeniseian,Nominal Categories
kew,Kewa,6,6-7 cases,-6.5,143.8333333,Enga_Kewa-Huli,Trans-New Guinea,Nominal Categories
kha,Khalkha,7,8-9 cases,47,105,Mongolic,Altaic,Nominal Categories
kty,Khanty,3,3 cases,65,65,Ugric,Uralic,Nominal Categories
khs,Khasi,1,No morphological case-marking,25.5,92,Khasian,Austro-Asiatic,Nominal Categories
khm,Khmer,1,No morphological case-marking,12.5,105,Khmer,Austro-Asiatic,Nominal Categories
kmu,Khmu',1,No morphological case-marking,21,102,Khmuic,Austro-Asiatic,Nominal Categories
klv,Kilivila,1,No morphological case-marking,-8.5,151.0833333,Oceanic,Austronesian,Nominal Categories
kin,Kinyarwanda,1,No morphological case-marking,-2,30,Bantu,Niger-Congo,Nominal Categories
kio,Kiowa,9,Exclusively borderline case-marking,37,-99,Kiowa-Tanoan,Kiowa-Tanoan,Nominal Categories
krb,Kiribati,1,No morphological case-marking,1.333333333,173,Oceanic,Austronesian,Nominal Categories
koa,Koasati,6,6-7 cases,34.83333333,-85.16666667,Muskogean,Muskogean,Nominal Categories
kob,Kobon,1,No morphological case-marking,-5.166666667,144.3333333,Kalam-Kobon,Trans-New Guinea,Nominal Categories
kmb,Kombai,1,No morphological case-marking,-5.583333333,140,Ndeiram,Trans-New Guinea,Nominal Categories
kon,Kongo,1,No morphological case-marking,-5,15,Bantu,Niger-Congo,Nominal Categories
kor,Korean,6,6-7 cases,37.5,128,Korean,Korean,Nominal Categories
kfe,Koromfe,1,No morphological case-marking,14.25,-0.9166666667,Koromfe,Niger-Congo,Nominal Categories
